STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-01,0.15,78,64
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-02,0.00,77,59
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-03,0.00,78,62
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-04,0.00,80,73
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-05,0.00,81,74
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-06,0.01,78,74
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-07,0.17,81,68
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-08,0.00,77,66
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-09,0.00,78,62
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-10,0.00,80,70
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-11,0.03,80,63
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-12,0.00,76,60
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-13,0.00,77,59
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-14,0.00,79,59
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-15,0.00,73,60
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-16,0.00,77,63
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-17,0.00,77,64
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-18,0.00,77,67
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-19,0.00,77,67
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-20,0.00,78,62
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-21,0.16,78,67
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-22,0.00,74,59
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-23,0.00,79,58
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-24,0.00,80,73
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-25,0.00,81,64
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-26,0.01,83,63
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-27,0.31,84,67
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-28,0.37,76,66
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-29,0.75,71,66
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-30,2.17,79,64
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-01-31,0.69,78,69
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-01,0.02,77,65
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-02,0.00,78,65
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-03,0.37,74,64
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-04,0.00,73,61
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-05,0.02,74,65
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-06,0.00,78,61
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-07,0.00,80,61
USC00519281,"WAIHEE 837.5, HI US",21.45167,-157.84889,32.9,2010-02-08,0.00,78,65
