STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TOBS
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/1/10,0.08,65
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/2/10,0,63
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/3/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/4/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/6/10,,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/7/10,0.06,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/8/10,0,64
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/9/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/10/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/11/10,0.01,64
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/12/10,0,61
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/14/10,0,66
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/15/10,0,65
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/16/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/17/10,0,64
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/18/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/19/10,0,66
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/20/10,0,66
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/21/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/22/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/23/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/24/10,0.01,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/25/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/26/10,0.04,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/27/10,0.12,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/28/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/30/10,,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,1/31/10,0.03,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/1/10,0.01,66
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/3/10,,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/4/10,0.01,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/5/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/6/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/7/10,0,64
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/8/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/9/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/11/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/12/10,0.02,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/13/10,0.01,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/14/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/15/10,0,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/16/10,0,61
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/17/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/19/10,,63
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/20/10,0.03,64
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/21/10,0,65
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/22/10,0,67
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/23/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/24/10,0,65
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/25/10,0,76
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/26/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,2/28/10,0,66
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/1/10,0.01,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/2/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/3/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/4/10,0.12,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/5/10,0.08,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/6/10,0.03,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/7/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/8/10,0.43,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/9/10,0.06,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/11/10,,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/12/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/13/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/14/10,0,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/15/10,0.06,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/17/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/18/10,0,70
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/21/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/22/10,0,69
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/23/10,0,68
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/24/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/26/10,,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/27/10,0,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/28/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/29/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/30/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,3/31/10,0,73
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/1/10,0,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/2/10,0.01,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/3/10,0.17,74
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/4/10,0.15,71
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/5/10,0.27,72
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/6/10,0.01,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/8/10,0,75
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3,4/9/10,0.01,75
