City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,husavik,0,IS,1509170400,46,66.04,-17.34,50.0,10.29
1,busselton,80,AU,1509175121,96,-33.65,115.33,65.66,27.22
2,payakumbuh,8,ID,1509175122,91,-0.22,100.63,82.44,2.73
3,sale,75,MA,1509174000,93,34.04,-6.82,60.8,1.12
4,cozumel,75,MX,1509169620,83,20.51,-86.95,77.0,11.41
5,windhoek,0,NA,1509170400,16,-22.56,17.08,71.6,14.99
6,iqaluit,90,CA,1509174000,79,63.75,-68.51,23.0,5.82
7,tsumeb,0,NA,1509175123,51,-19.23,17.72,70.16,5.26
8,deputatskiy,0,RU,1509175123,76,69.3,139.9,1.4,4.81
9,rikitea,64,PF,1509175123,100,-23.12,-134.97,71.06,6.53
10,alofi,12,NU,1509174000,88,-19.06,-169.92,75.2,5.82
11,hermanus,48,ZA,1509175124,73,-34.42,19.23,51.68,4.16
12,ibotirama,0,BR,1509174968,62,-12.19,-43.22,75.65,7.16
13,eyl,48,SO,1509175124,97,7.98,49.82,77.36,6.26
14,pestovo,88,RU,1509175125,93,58.59,35.8,26.91,4.41
15,sitka,75,US,1509173760,100,57.05,-135.33,46.4,5.82
16,bluff,0,NZ,1509175125,97,-46.6,168.33,53.69,11.79
17,atuona,92,PF,1509175125,100,-9.8,-139.03,79.81,6.96
18,punta arenas,90,CL,1509170400,87,-53.15,-70.92,44.6,10.29
19,kahului,40,US,1509173760,83,20.89,-156.47,71.6,5.82
20,altayskoye,0,RU,1509175127,76,51.95,85.33,39.33,4.81
21,mataura,0,IN,1509175127,40,27.5,77.68,87.26,4.81
22,kloulklubed,90,PW,1509170040,70,7.04,134.26,89.6,4.7
23,hobart,75,AU,1509174000,55,-42.88,147.33,64.4,6.93
24,tautira,40,PF,1509174000,78,-17.73,-149.15,78.8,12.75
25,brae,92,GB,1509173400,87,60.4,-1.35,50.0,14.99
26,agadez,0,NE,1509175128,62,19.75,10.25,55.71,9.33
27,gejiu,0,CN,1509175128,77,23.31,103.16,68.18,2.57
28,thompson,75,CA,1509174000,92,55.74,-97.86,23.0,4.7
29,dikson,88,RU,1509175129,100,73.51,80.55,22.41,29.42
30,cherskiy,76,RU,1509175129,87,68.75,161.3,2.3,4.03
31,longyearbyen,75,SJ,1509173400,62,78.22,15.64,24.8,13.87
32,tungor,32,RU,1509175130,77,53.38,142.96,44.42,12.91
33,christchurch,0,NZ,1509174000,87,-43.53,172.63,55.4,14.99
34,bethel,1,US,1509173760,93,41.37,-73.41,48.2,5.17
35,orchard homes,1,US,1509173580,80,46.86,-114.05,35.6,1.9
36,caravelas,92,BR,1509175131,100,-17.71,-39.25,77.63,19.69
37,hoa binh,20,VN,1509174000,58,20.81,105.34,86.0,1.12
38,carnarvon,0,AU,1509175131,76,-24.87,113.63,73.26,18.23
39,tashla,92,RU,1509175132,95,51.77,52.74,29.3,10.85
40,rapid city,1,US,1509173760,32,44.08,-103.23,37.4,6.93
41,ushuaia,40,AR,1509170400,75,-54.8,-68.3,42.8,2.39
42,saint george,1,US,1509173760,20,37.1,-113.58,62.6,4.7
43,nikolskoye,90,RU,1509172200,92,59.68,30.67,32.0,8.95
44,krasnozerskoye,88,RU,1509175133,78,53.98,79.24,39.62,19.37
45,taolanaro,75,MG,1509170400,94,-25.02,46.97,69.8,11.41
46,samusu,0,CN,1509175133,50,41.43,128.03,56.21,3.51
47,biak,36,ID,1509175134,90,-1.88,136.23,84.85,3.15
48,saskylakh,76,RU,1509175134,81,71.92,114.08,5.99,14.32
49,maceio,40,BR,1509174000,94,-9.67,-35.74,69.8,3.36
50,port hardy,5,CA,1509174000,93,50.7,-127.42,39.2,3.36
51,narsaq,24,GL,1509173400,57,60.92,-46.05,32.0,2.24
52,liku,0,NP,1509175135,54,29.06,82.31,60.98,1.83
53,praia,0,CV,1509174000,41,14.92,-23.51,78.8,8.05
54,fortuna,90,US,1509173700,100,40.6,-124.16,48.2,4.25
55,vanimo,12,PG,1509175136,100,-2.67,141.3,84.02,5.14
56,atar,0,MR,1509175136,44,20.52,-13.05,61.38,4.03
57,klaksvik,90,FO,1509173820,100,62.23,-6.59,48.2,20.8
58,qaanaaq,64,GL,1509175137,100,77.48,-69.36,13.19,8.84
59,avarua,100,CK,1509175125,100,-21.21,-159.78,73.22,17.11
60,gulshat,75,BD,1509174000,58,23.8,90.42,86.0,5.82
61,elko,1,US,1509173760,56,40.83,-115.76,42.8,3.36
62,albany,40,US,1509173640,61,42.65,-73.76,48.2,4.7
63,ilulissat,36,GL,1509173400,73,69.22,-51.1,23.0,5.82
64,calvillo,0,MX,1509175138,45,21.85,-102.72,48.83,5.82
65,esperance,0,AU,1509175139,34,-33.87,121.9,79.83,23.6
66,bambous virieux,75,MU,1509170400,94,-20.34,57.76,75.2,10.29
67,hambantota,12,LK,1509175139,96,6.12,81.12,83.75,3.58
68,campoverde,40,PE,1509170400,94,-8.48,-74.81,75.2,2.24
69,high level,1,CA,1509174000,93,58.52,-117.14,37.4,5.82
70,norman wells,90,CA,1509174000,92,65.28,-126.83,30.2,10.29
71,belushya guba,20,RU,1509175140,100,69.71,60.05,29.16,17.67
72,yermakovskoye,0,RU,1509175141,70,53.28,92.4,36.88,5.17
73,barrow,90,US,1509173580,85,71.29,-156.79,24.8,20.8
74,crotone,90,IT,1509173700,93,39.09,17.12,35.6,31.09
75,chuy,80,UY,1509175142,96,-33.7,-53.46,60.66,18.12
76,isangel,48,VU,1509175142,100,-19.55,169.27,77.13,12.12
77,dinsor,8,SO,1509175142,63,3.0,43.5,79.67,9.53
78,mogzon,76,RU,1509175143,53,51.74,111.96,25.79,12.12
79,mahebourg,75,MU,1509170400,94,-20.41,57.7,75.2,10.29
80,new norfolk,75,AU,1509174000,55,-42.78,147.06,64.4,6.93
81,puri,40,IN,1509172200,62,19.8,85.85,89.6,4.7
82,basco,8,PH,1509175071,100,20.45,121.97,81.14,9.33
83,ierapetra,0,GR,1509173400,55,35.01,25.74,64.4,8.05
84,east london,0,ZA,1509170400,55,-33.02,27.91,60.8,8.05
85,butaritari,0,KI,1509175144,100,3.07,172.79,84.04,12.77
86,kenmare,68,IE,1509175144,100,51.88,-9.58,49.68,4.14
87,igarka,92,RU,1509175145,95,67.47,86.58,23.54,10.11
88,graaff-reinet,0,ZA,1509175145,64,-32.25,24.53,45.95,4.03
89,venado tuerto,0,AR,1509175145,83,-33.75,-61.97,52.45,4.16
90,fukue,75,JP,1509171540,93,32.69,128.84,64.4,11.41
91,barentsburg,75,DE,1509173400,81,52.62,8.8,50.0,19.46
92,kapaa,75,US,1509173760,83,22.08,-159.32,75.2,8.05
93,mys shmidta,92,UA,1509175147,98,47.75,38.03,49.86,8.05
94,liverpool,75,GB,1509173400,93,53.41,-2.98,55.4,18.34
95,guangzhou,0,CN,1509172200,35,23.12,113.25,84.2,8.95
96,cayenne,40,GF,1509172200,100,4.93,-52.33,75.2,1.12
97,nemuro,75,JP,1509170400,71,43.32,145.57,53.6,13.87
98,kaitangata,0,NZ,1509175148,78,-46.23,169.75,54.77,8.05
99,waiuku,100,NZ,1509174000,88,-37.25,174.75,62.6,6.93
100,khatanga,76,RU,1509175149,81,71.97,102.5,3.94,11.1
101,baturaja,24,ID,1509175149,97,-4.13,104.17,84.74,6.31
102,araouane,0,ML,1509175149,40,18.9,-3.53,60.89,4.07
103,tuktoyaktuk,92,CA,1509175150,95,69.45,-133.04,28.53,11.9
